"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.STP.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","São Tomé and Príncipe, Democratic Republic of","0.3","0.3","","","0.2","","0.5","","0.2","0.2","0.981624","0.553482","0.253002","0.984219","0.769853","0.49423","0.909851","0.710264","1.526072","0.905286","1.160311","0.876281","1.753599","0.572291"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.IRN.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Iran, Islamic Republic of","148.9","162.9","167.0","155.9","179.5","162.0","178.3","105.5","68.8","96.5","1.005187","2.11355","2.208518","","10.766314","85.998218","63.099116","69.975536","1.410667","3.863444","1.237957","11.180647","2.228556","6.218491"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.ROU.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Romania","555.2","744.5","785.1","918.9","1310.3","1194.0","1124.6","1172.6","772.2","1060.0","1435.060858","1620.365188","1716.149362","2102.923353","2135.744843","1963.143105","2197.643477","2605.342646","2374.536274","2126.261038","2909.372499","3779.406052","3998.905511","3905.012813"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.VCT.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","St. Vincent and the Grenadines","22.7","16.7","4.1","4.1","15.7","2.0","1.2","0.8","1.2","2.0","1.939029","2.330278","2.888473","1.37855","1.753282","3.080088","4.905778","5.300013","5.107787","5.657254","5.826523","8.644088","5.345537","8.26388"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.CHN.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","China, People's Republic of","109391.6","133490.4","163255.3","210525.8","259837.8","305787.6","340117.7","356318.9","309557.7","382982.9","399371.232631","425619.082637","440434.334115","466754.455239","481880.763487","462813.00046","505165.098057","538514.158526","449110.676707","432548.018651","504286.202159","536307.087949","427229.201376","438947.386145"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.LTU.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Lithuania, Republic of","181.8","319.9","378.1","526.1","684.4","611.2","495.8","795.8","619.6","664.9","1044.429765","1176.204744","1554.352566","1093.916366","1057.849459","1182.172999","1497.068655","1266.838528","1101.717037","1340.527649","2061.773473","2583.947367","2108.819277","2011.564192"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.PNG.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Papua New Guinea","43.4","96.7","70.4","57.4","62.3","88.1","114.8","111.9","107.2","101.2","141.68579","118.008125","129.093372","100.132044","90.688565","91.762354","120.926739","90.012769","70.161983","86.31897","77.961881","74.107765","77.92177","79.150698"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.COG.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Congo, Republic of","527.3","210.5","457.1","898.4","1696.6","3184.5","3182.3","5199.1","3188.6","3391.6","2420.086749","1488.475391","1166.601446","424.221715","304.222681","132.063617","128.271517","432.719748","562.792051","132.186459","52.033062","143.668597","296.700098","40.200821"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.URY.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Uruguay","240.5","203.0","271.2","622.1","784.2","547.4","523.5","259.2","254.3","248.5","291.454584","357.532717","423.082838","456.282526","606.055649","536.200467","584.021678","507.913526","519.02417","550.288448","633.957203","905.464774","874.541843","1228.834152"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.TUR.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Türkiye, Republic of","3254.8","3759.9","4062.1","5322.0","5584.3","5774.4","4897.3","4949.8","3857.1","4421.9","5220.844682","6294.133798","6669.092942","7356.981878","7827.59031","8064.301205","9385.461354","10298.779835","10586.516085","10971.213196","15872.663745","18831.565292","15498.460115","16745.664057"
